T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T301,mode
0.854987859,0.078140064,-0.299016248,0.806095979,0.200803213,-0.394707234,0.741573034,-0.494505495,0.236078528,0.731985044,-0.052296011,-0.100191355,0.925857773,-0.054726708,-0.088319667,1.104504299,-0.039729969,-0.19923892,0.976875709,-0.165780826,-0.07329895,0.885751872,-0.38067312,0.24986681,0.740148044,-0.666666667,-0.825499301,-0.32673202,-0.449132363,0.899442704,0.773489583,-0.885511764,-0.444813691,-0.429553275,-0.769516245,0.096835857,5187.421053,walking
0.506282885,-0.214152183,0.102741413,0.131045541,-0.116738476,0.097168502,0.868131868,-0.172413793,0.040545661,0.827387799,-0.09270186,-0.063522938,0.858024607,0.035864981,-0.118329738,1.118887651,-0.024753578,-0.221559009,0.870262567,0.035799235,-0.240870814,0.983148408,-0.377591496,0.18440212,0.243807855,0.190940654,-0.614692368,0.193108041,-0.157238749,-0.016505123,0.687643123,-0.733341458,-0.531757257,-0.04062921,-0.8655456,-0.093158682,3595.605263,walking
0.595151618,0.022285452,0.030244342,0.350767752,0.014817579,0.1740795,0.420446256,-0.320250545,0.09319974,0.674736499,0.006354338,-0.014305321,0.905408124,-0.072734186,-0.044208008,1.113293472,-0.051870288,-0.192828265,1.067858142,-0.090628549,-0.220994887,1.053425113,-0.448998785,0.187086738,0.614251478,-0.130182799,-0.570174122,-0.247246807,-0.566611842,0.657596974,0.766899846,-0.872840103,-0.577805874,-0.427238493,-0.879265586,0.159534052,5750.186842,walking
0.619296008,0.273006647,-0.228554885,0.264246858,-0.161853277,-0.264441666,0.351231973,0.045084105,0.098763708,0.662292741,0.071592668,-0.104555514,0.929032901,-0.037091248,-0.093215296,1.089208574,-0.011681489,-0.210767393,0.88941173,0.124554745,-0.291761611,0.598847277,0.510644964,-0.401152723,0.009132134,-0.21495984,-0.726845523,0.251629956,0.136580136,0.342407275,0.797926948,-0.75647488,-0.536640149,-0.25455478,-0.791177803,-0.045571989,5614.065789,walking
0.583159423,-0.072154341,-0.062001867,-0.059758471,0.265105823,0.24705971,-0.038017005,-0.068503361,0.187723546,0.644376296,-0.003259089,-0.021941201,0.865376158,-0.111235656,0.009393277,1.079407712,-0.018976935,-0.192086217,0.936969792,-0.137647392,-0.136477017,0.786518849,0.217093836,-0.244972254,-0.146176337,0.112603855,-0.652219245,0.042796049,0.389388579,0.359347307,0.759010842,-0.695492636,-0.505772604,-0.07767811,-0.866711945,-0.166765829,4548.155263,walking
0.659831009,-0.247661214,0.01000476,-0.005804577,-0.011236656,-0.016793588,0.441279329,-0.195262358,0.06151872,0.581519477,0.157583478,-0.078026099,0.916576404,-0.034767106,-0.093006394,1.089787184,0.043570488,-0.271291068,0.975758944,-0.082708688,-0.15310445,0.715597361,0.157984953,-0.092720903,0.341972378,-0.681120471,-0.698759107,-0.244599795,-0.440559274,0.668090299,0.724746266,-0.776062688,-0.560095353,-0.183803376,-0.881226139,-0.046375012,6759.644737,walking
0.869067187,-0.432191643,-0.055327974,0.150967303,-0.000738434,-0.1527663,0.269339456,0.376733781,-0.309607912,0.710770487,-0.027091068,-0.096706431,0.921548068,-0.028994721,-0.090822824,1.1048111,-0.07673085,-0.167785346,0.977553369,0.030075675,-0.190040677,-0.002687202,-0.005291079,-0.007922804,-0.04843276,-0.755182202,-0.801770369,0.174077656,0.138978281,0.656437098,0.877519182,-0.958432627,0.50291386,-0.8114534,0.191209253,-0.444824218,5279.844737,walking
0.902744739,-0.081919345,-0.20191062,0.446423018,-0.298953324,-0.124046781,0.549709555,0.123823187,-0.08599172,0.744764474,0.063357118,-0.18292257,0.957617065,-0.033965257,-0.121373944,1.114471449,-0.089974965,-0.158384914,0.765586666,0.110742244,-0.214086562,0.54814171,-0.069637538,0.174585869,0.012611434,-0.877547509,-0.857213595,-0.147660398,-0.382453246,0.826377101,0.849810545,-0.779521274,-0.549711157,-0.356829055,-0.780706532,0.080726084,7714.35,walking
1.028285961,-0.166415335,-0.197647242,0.485363145,0.129259379,0.0409187,0.141867814,0.212576978,0.107776905,0.621158793,0.075908522,-0.029416762,0.901545308,-0.028050743,-0.059424468,1.07143782,0.024437691,-0.241698267,0.826637403,0.106479931,-0.188945159,0.769336612,-0.052537883,0.00563626,0.446844455,0.243733339,-0.634198142,0.166666667,-0.714145009,0.063213793,0.714624632,-0.858049472,-0.538185225,-0.304043854,-0.844693728,0.094899671,4386.363158,walking
0.781765307,-0.055056586,-0.326019124,0.338550465,0.013860001,-0.33442716,-0.001428004,-0.001985557,-0.341529527,0.785501489,-0.006155301,-0.084141557,0.869343591,-0.011785077,-0.083834392,1.062592619,-0.01531915,-0.188374191,0.864866253,0.126551182,-0.242002365,0.755596804,0.378759727,-0.394553346,0.469727978,0.193417403,-0.693580399,-0.322033898,-0.576947288,0.17826703,0.675111309,-0.871563782,-0.508883172,-0.294267746,-0.875001986,0.050203998,3743.555263,walking
